azon;cím;rendezo;hozzaadas_datum;ertekeles;nyelv
278927;The Jungle Book;Jon Favreau;2016.04.07;6,865;en
259316;Fantastic Beasts and Where to Find Them;David Yates;2016.11.16;7,317;en
310131;The Witch;Robert Eggers;2016.02.19;6,978;en
311324;The Great Wall;Zhang Yimou;2016.12.16;6;en
330459;Rogue One: A Star Wars Story;Gareth Edwards;2016.12.14;7,493;en
302699;Central Intelligence;Rawson Marshall Thurber;2016.06.16;6,416;en
43074;Ghostbusters;Paul Feig;2016.07.14;5,347;en
333484;The Magnificent Seven;Antoine Fuqua;2016.09.14;6,46;en
308531;Teenage Mutant Ninja Turtles: Out of the Shadows;Dave Green;2016.06.01;6;en
267935;The BFG;Steven Spielberg;2016.06.01;6,276;en
291805;Now You See Me 2;Jon M. Chu;2016.06.02;6,825;en
127380;Finding Dory;Andrew Stanton;2016.06.16;7,038;en
391757;Never Back Down: No Surrender;Michael Jai White;2016.06.07;7;en
324668;Jason Bourne;Paul Greengrass;2016.07.27;6,361;en
241259;Alice Through the Looking Glass;James Bobin;2016.05.25;6,559;en
363676;Sully;Clint Eastwood;2016.09.07;7,196;en
297761;Suicide Squad;David Ayer;2016.08.03;5,918;en
262504;Allegiant;Robert Schwentke;2016.03.09;6,101;en
313297;Kubo and the Two Strings;Travis Knight;2016.08.18;7,633;en
277834;Moana;John Musker, Ron Clements;2016.10.13;7,566;en
333371;10 Cloverfield Lane;Dan Trachtenberg;2016.03.10;6,991;en
274870;Passengers;Morten Tyldum;2016.12.21;6,95;en
300669;Don't Breathe;Fede Álvarez;2016.06.08;7;en
334541;Manchester by the Sea;Kenneth Lonergan;2016.11.17;7,547;en
308266;War Dogs;Todd Phillips;2016.08.18;6,923;en
332567;The Shallows;Jaume Collet-Serra;2016.06.24;6,346;en
321258;The Boy;William Brent Bell;2016.01.22;6;en
376570;Hush;Mike Flanagan;2016.03.12;6,73;en
296524;Deepwater Horizon;Peter Berg;2016.09.28;6,877;en
355506;Siren;Gregg Bishop;2016.12.02;6;en
271969;Ben-Hur;Timur Bekmambetov;2016.08.17;5,746;en
291870;Dirty Grandpa;Dan Mazer;2016.01.20;5,927;en
323675;Ride Along 2;Tim Story;2016.01.14;6,255;en
377897;Barbie: Spy Squad;Conrad Helten;2016.01.15;7;en
306947;The Invitation;Karyn Kusama;2016.04.08;6,43;en
207932;Inferno;Ron Howard;2016.10.13;6,075;en
146198;Triple 9;John Hillcoat;2016.02.19;5,98;en
369885;Allied;Robert Zemeckis;2016.02.12;6,794;en
388399;Patriots Day;Peter Berg;2016.12.12;7,055;en
335796;Ouija: Origin of Evil;Mike Flanagan;2016.10.20;6,132;en
267193;Grimsby;Louis Leterrier;2016.02.24;5,95;en
371645;Hunt for the Wilderpeople;Taika Waititi;2016.03.31;7,655;en
384664;Goodbye Berlin;Fatih Akin;2016.09.15;6,677;de
303858;Money Monster;Jodie Foster;2016.05.12;6,435;en
366924;Batman: Bad Blood;Jay Oliva;2016.01.19;7;en
293767;Billy Lynn's Long Halftime Walk;Ang Lee;2016.11.10;6,028;en
351211;Blair Witch;Adam Wingard;2016.09.15;5,219;en
340945;USS Indianapolis: Men of Courage;Mario Van Peebles;2016.09.22;5,882;en
335778;Risen;Kevin Reynolds;2016.02.18;6,179;en
323677;Race;Stephen Hopkins;2016.02.19;7,244;en
328387;Nerve;Henry Joost, Ariel Schulman;2016.06.27;7;en
263341;Crouching Tiger, Hidden Dragon: Sword of Destiny;Yuen Woo-Ping;2016.02.18;6,111;en
328111;The Secret Life of Pets;Chris Renaud;2016.06.18;6,289;en
379291;Justice League vs. Teen Titans;Sam Liu;2016.03.26;7,273;en
404378;A Street Cat Named Bob;Roger Spottiswoode;2016.11.04;7,912;en
302401;Snowden;Oliver Stone;2016.09.15;7,104;en
270487;Hail, Caesar!;Joel Coen, Ethan Coen;2016.02.05;5,923;en
302156;Criminal;Ariel Vromen;2016.04.07;6,205;en
351339;Anthropoid;Sean Ellis;2016.08.12;7,136;en
329440;The Forest;Jason Zada;2016.01.07;5,224;en
313922;Green Room;Jeremy Saulnier;2016.04.15;6,721;en
341012;Popstar: Never Stop Never Stopping;Jorma Taccone, Akiva Schaffer;2016.06.03;6,619;en
408567;Deadly Pickup;Dean McKendrick;2016.07.26;5,447;en
353069;Mother's Day;Garry Marshall;2016.04.28;6;en
302688;My Big Fat Greek Wedding 2;Kirk Jones;2016.03.23;6;en
308529;Kickboxer: Vengeance;John Stockwell;2016.07.14;5;en
330483;The Choice;Ross Katz;2016.02.04;7,204;en
378018;The Void;Jeremy Gillespie, Steven Kostanski;2016.09.22;5,991;en
408381;Monolith;Ivan Silvestrini;2016.05.12;5,347;en
354216;The Devil's Candy;Sean Byrne;2016.12.15;6,275;en
347031;Swiss Army Man;Daniel Kwan, Daniel Scheinert;2016.06.24;6,928;en
325789;The Infiltrator;Brad Furman;2016.07.13;6,675;en
336445;Army of One;Larry Charles;2016.11.04;5,208;en
364116;The Other Side of the Door;Johannes Roberts;2016.02.25;5,549;en
370755;Paterson;Jim Jarmusch;2016.11.17;7,113;en
359483;Adidas Vs. Puma: The Brother's Feud;Oliver Dommenget;2016.03.25;7;de
259695;Live by Night;Ben Affleck;2016.12.25;6,249;en
399106;Piper;Alan Barillaro;2016.06.16;8,148;en
382322;Batman: The Killing Joke;Sam Liu;2016.07.24;6,594;en
410126;Patient Seven;Danny Draven, Paul Davis, Ómar Örn Hauksson, Dean Hewison, Joel Morgan, Johannes Persson, Nicholas Peterson, Erlingur Thoroddsen, Rasmus Wassberg;2016.10.11;5,162;en
326285;American Pastoral;Ewan McGregor;2016.10.20;6,171;en
333385;Mr. Right;Paco Cabezas;2016.02.29;6,468;en
337556;Emerald Green;Katharina Schöde, Felix Fuchssteiner;2016.07.07;7;de
270007;Take Down;Jim Gillespie;2016.05.05;5,835;en
312669;Maggie's Plan;Rebecca Miller;2016.04.27;5,697;en
352498;First Girl I Loved;Kerem Sanga;2016.10.18;6,304;en
315664;Florence Foster Jenkins;Stephen Frears;2016.05.06;6,667;en
419639;The Thinning;Michael J. Gallagher;2016.10.12;6,701;en
411736;Batman: Return of the Caped Crusaders;Rick Morales;2016.10.08;6,446;en
376866;Jackie;Pablo Larraín;2016.12.02;6,456;en
415749;Barbie: Star Light Adventure;Andrew Tan, Michael Goguen;2016.08.12;7;en
288171;Blue Mountain State: The Rise of Thadland;Lev L. Spiro;2016.02.02;5,614;en
414597;Well;Attila Gigor;2016.09.22;5,665;hu
308453;The Bronze;Bryan Buckley;2016.01.22;6,041;en
257440;Term Life;Peter Billingsley;2016.04.29;6;en
390582;Here Alone;Rod Blackhurst;2016.09.16;5,507;en
376004;Adulterers;H.M. Coakley;2016.01.05;6,085;en
388191;Mythica: The Iron Crown;John Lyde;2016.05.14;6;en
301348;Elvis & Nixon;Liza Johnson;2016.03.22;6;en
291264;The Family Fang;Jason Bateman;2016.04.16;5,837;en
374617;Imperium;Daniel Ragussis;2016.08.19;6,465;en
374475;Toni Erdmann;Maren Ade;2016.07.14;6,974;de
300667;3 Generations;Gaby Dellal;2016.10.27;6,379;en
334522;Alone in Berlin;Vincent Perez;2016.02.15;6,691;en
205588;Our Kind of Traitor;Susanna White;2016.05.05;6;en
355008;Special Correspondents;Ricky Gervais;2016.04.22;5,758;en
393003;Wildflower;Nicholas DiBella;2016.02.05;5,667;en
378200;The Perfect Match;Bille Woodruff;2016.03.11;5,492;en
279641;Whiskey Tango Foxtrot;Glenn Ficarra, John Requa;2016.03.04;6,301;en
400605;Dead Rising: Endgame;Pat Williams;2016.06.20;5,164;en
405882;Don't Kill It;Mike Mendez;2016.08.27;6;en
421632;I'll Be Home for Christmas;James Brolin;2016.11.27;6;en
403052;Mower Minions;Glenn McCoy, Bruno Chauffard;2016.07.08;6,634;en
385320;Zoombies;Glenn Miller;2016.04.29;5;en
419546;HyperNormalisation;Adam Curtis;2016.10.25;7,436;en
368942;A Quiet Passion;Terence Davies;2016.10.07;6,067;en
340487;Certain Women;Kelly Reichardt;2016.09.25;6;en
421758;Journey Back to Christmas;Mel Damski;2016.11.27;6,44;en
365995;Inside;Miguel Ángel Vivas;2016.02.14;5;en
333663;War on Everyone;John Michael McDonagh;2016.10.07;5,779;en
318121;The Fundamentals of Caring;Rob Burnett;2016.06.16;7,296;en
344041;Standoff;Adam Alleca;2016.02.26;6,043;en
284564;31;Rob Zombie;2016.09.15;5,442;en
492621;The Midnight Man;Travis Zariwny;2016.09.30;5,812;en
298583;All Roads Lead to Rome;Ella Lemhagen;2016.01.14;5;en
323694;Nina Forever;Ben Blaine, Chris Blaine;2016.01.19;5,223;en
337154;The Meddler;Lorene Scafaria;2016.04.05;6;en
393765;Priceless;Ben Smallbone;2016.10.14;7;en
393834;Goldstone;Ivan Sen;2016.07.07;6;en
431742;The Last Dragonslayer;Jamie Magnus Stone;2016.12.25;6;en
353728;Closet Monster;Stephen Dunn;2016.07.15;7,095;en
408508;Blue Jay;Alexandre Lehmann;2016.10.07;7,025;en
347751;13 Cameras;Victor Zarcoff;2016.04.15;5;en
274504;The Adderall Diaries;Pamela Romanowsky;2016.04.15;5,35;en
352492;XOXO;Christopher Louie;2016.08.26;6;en
401650;DC Super Hero Girls: Hero of the Year;Cecilia Aranovich;2016.08.09;6;en
402334;Brotherhood;Noel Clarke;2016.09.02;6;en
348089;Grease Live;Alex Rudzinski, Thomas Kail;2016.01.31;7;en
403348;Welcome to Hartmanns;Simon Verhoeven;2016.11.03;6,352;de
408272;Catfight;Onur Tukel;2016.09.09;5,515;en
393569;Text for You;Karoline Herfurth;2016.09.15;6,731;de
399894;Daylight's End;William Kaufman;2016.04.16;5,856;en
333386;The Duel;Kieran Darcy-Smith;2016.06.24;5,372;en
373889;The Most Beautiful Day;Florian David Fitz;2016.02.25;7;de
373072;Tickled;David Farrier, Dylan Reeve;2016.05.26;7,158;en
400608;Bo Burnham: Make Happy;Bo Burnham, Christopher Storer;2016.06.03;8,044;en
397514;The Windmill Massacre;Nick Jongerius;2016.08.29;5;en
330982;The Childhood of a Leader;Brady Corbet;2016.07.22;6,223;en
388862;Countdown;John Stockwell;2016.04.05;5,011;en
320413;The Greasy Strangler;Jim Hosking;2016.06.03;5,678;en
403570;Red Dog: True Blue;Kriv Stenders;2016.12.26;6,467;en
332721;Dad's Army;Oliver Parker;2016.02.05;5;en
391626;The Offering;Kelvin Tong;2016.05.06;5,258;en
356334;Gridlocked;Allan Ungar;2016.06.14;5,92;en
379990;Anything for Love;Terry Ingram;2016.02.14;6;en
340611;Indignation;James Schamus;2016.07.29;6,354;en
391975;2 Lava 2 Lantula!;Nick Simon;2016.08.06;5;en
351242;The Intervention;Clea DuVall;2016.08.26;5,863;en
401689;Mythica: The Godslayer;John Lyde;2016.12.17;6;en
326094;Wiener-Dog;Todd Solondz;2016.06.24;5,637;en
350160;Schweinskopf al dente;Ed Herzog;2016.08.11;7;de
371445;As You Are;Miles Joris-Peyrafitte;2016.12.08;7;en
406449;Hatred;Wojciech Smarzowski;2016.10.07;7,33;pl
422153;Hulk: Where Monsters Dwell;Mitch Schauer;2016.10.21;6,555;en
381028;Tower;Keith Maitland;2016.03.13;7,616;en
373451;Michael Jackson's Journey from Motown to Off the Wall;Spike Lee;2016.02.06;7;en
371738;Looking: The Movie;Andrew Haigh;2016.07.24;7,146;en
339792;David Brent: Life on the Road;Ricky Gervais;2016.08.19;6,108;en
378674;DC Films Presents Dawn of the Justice League;Eric Matthies;2016.01.19;6;en
392476;Vampire Sisters 3: Journey to Transylvania;Tim Trachte;2016.12.08;6,616;de
373473;Little Men;Ira Sachs;2016.08.05;6,579;en
365997;A Beautiful Planet;Toni Myers;2016.04.16;7;en
377428;All Things Valentine;Gary Harvey;2016.01.31;5,878;en
398265;Traded;Timothy Woodward Jr.;2016.06.10;5;en
366568;Four Against the Bank;Wolfgang Petersen;2016.12.25;6;de
371449;Other People;Chris Kelly;2016.09.09;6,339;en
504762;The Rise and Fall of El Chapo;Angus Macqueen;2016.07.24;7;en
279096;Lazer Team;Matt Hullum;2016.01.27;5,507;en
427451;Banking on Bitcoin;Christopher Cannucciari;2016.12.30;6,316;en
400547;Hurricane Bianca;Matt Kugelman;2016.06.03;6;en
422874;Money;Martín Rosete;2016.04.06;5,372;en
291413;Within;Phil Claydon;2016.10.18;5,455;en
427045;A December Bride;David Winning;2016.11.20;7,045;en
371741;Ali and Nino;Asif Kapadia;2016.01.27;6,649;en
506822;Double D Dude Ranch;Jamie Grefe;2016.07.20;5,083;en
359871;My Scientology Movie;John Dower;2016.05.05;6,597;en
404141;One More Time with Feeling;Andrew Dominik;2016.09.02;7,847;en
407334;My Summer Prince;Peter Sullivan;2016.08.06;6;en
400329;First Born;Nirpal Bhogal;2016.06.19;5,362;en
335984;Blade Runner 2049;Denis Villeneuve;2017.10.04;7,573;en
181808;Star Wars: The Last Jedi;Rian Johnson;2017.12.13;6,783;en
321612;Beauty and the Beast;Bill Condon;2017.03.16;7;en
141052;Justice League;Zack Snyder;2017.11.15;6,076;en
166426;Pirates of the Caribbean: Dead Men Tell No Tales;Espen Sandberg, Joachim Rønning;2017.05.23;6,652;en
396422;Annabelle: Creation;David F. Sandberg;2017.08.03;6,593;en
353491;The Dark Tower;Nikolaj Arcel;2017.08.03;5,76;en
324552;John Wick: Chapter 2;Chad Stahelski;2017.02.08;7,332;en
335988;Transformers: The Last Knight;Michael Bay;2017.06.16;6;en
398818;Call Me by Your Name;Luca Guadagnino;2017.07.28;8,121;en
339403;Baby Driver;Edgar Wright;2017.06.28;7,448;en
345938;The Shack;Stuart Hazeldine;2017.03.03;7,488;en
353486;Jumanji: Welcome to the Jungle;Jake Kasdan;2017.12.09;6,821;en
374720;Dunkirk;Christopher Nolan;2017.07.19;7,45;en
47971;xXx: Return of Xander Cage;D.J. Caruso;2017.01.13;6,135;en
293167;Kong: Skull Island;Jordan Vogt-Roberts;2017.03.08;6,543;en
353070;Going in Style;Zach Braff;2017.04.06;6,706;en
339964;Valerian and the City of a Thousand Planets;Luc Besson;2017.07.20;6,627;en
282035;The Mummy;Alex Kurtzman;2017.06.06;5,513;en
343668;Kingsman: The Golden Circle;Matthew Vaughn;2017.09.20;6,962;en
315837;Ghost in the Shell;Rupert Sanders;2017.03.29;6,087;en
379149;The Foreigner;Martin Campbell;2017.09.28;6,969;en
339692;Shot Caller;Ric Roman Waugh;2017.07.13;7;en
399055;The Shape of Water;Guillermo del Toro;2017.12.01;7,244;en
274857;King Arthur: Legend of the Sword;Guy Ritchie;2017.05.10;6,549;en
400928;Gifted;Marc Webb;2017.04.07;8;en
381289;A Dog's Purpose;Lasse Hallström;2017.01.19;7,634;en
391713;Lady Bird;Greta Gerwig;2017.09.01;7,258;en
390062;Jungle;Greg McLean;2017.06.27;6,626;en
393345;Cult of Chucky;Don Mancini;2017.10.12;5,819;en
395834;Wind River;Taylor Sheridan;2017.08.03;7,434;en
399404;Darkest Hour;Joe Wright;2017.11.22;7,351;en
425972;Cargo;Ben Howling, Yolanda Ramke;2017.10.06;6,41;en
394117;The Florida Project;Sean Baker;2017.10.06;7,423;en
399057;The Killing of a Sacred Deer;Yorgos Lanthimos;2017.10.20;7,022;en
274862;The Lego Ninjago Movie;Charlie Bean, Bob Logan, Paul Fisher;2017.09.21;6,494;en
359940;Three Billboards Outside Ebbing, Missouri;Martin McDonagh;2017.12.01;8,068;en
14564;Rings;F. Javier Gutiérrez;2017.02.01;5;en
381283;mother!;Darren Aronofsky;2017.09.13;7;en
433498;Papillon;Michael Noer;2017.09.07;7,341;en
337170;American Made;Doug Liman;2017.08.18;6,882;en
405775;The Wall;Doug Liman;2017.05.12;6,376;en
293768;Kidnap;Luis Prieto;2017.08.03;6,213;en
314095;The Lost City of Z;James Gray;2017.03.15;6,402;en
452030;Cinderella's Hot Night;Dean McKendrick;2017.05.30;5,756;en
398175;Brawl in Cell Block 99;S. Craig Zahler;2017.09.23;6,976;en
479753;Shockwave: Countdown to Disaster;Nick Lyon;2017.09.02;5,572;en
446354;The Post;Steven Spielberg;2017.12.22;7;en
398181;You Were Never Really Here;Lynne Ramsay;2017.11.08;6,549;en
418078;It Comes at Night;Trey Edward Shults;2017.06.09;5,854;en
339259;The Man with the Iron Heart;Cédric Jimenez;2017.05.25;6,553;en
411873;The Little Hours;Jeff Baena;2017.06.30;5,829;en
428449;A Ghost Story;David Lowery;2017.04.24;7,106;en
399170;Logan Lucky;Steven Soderbergh;2017.08.17;6,727;en
411840;Surf's Up 2: WaveMania;Henry Yu;2017.01.26;6,075;en
335777;The Nut Job 2: Nutty by Nature;Cal Brunker;2017.08.11;5,971;en
420622;Professor Marston and the Wonder Women;Angela Robinson;2017.10.13;7,173;en
402897;The Death of Stalin;Armando Iannucci;2017.10.20;7,003;en
407445;Breathe;Andy Serkis;2017.10.13;7,44;en
418680;Goodbye Christopher Robin;Simon Curtis;2017.09.29;7,047;en
401104;To the Bone;Marti Noxon;2017.01.22;7,217;en
451644;Dragonheart: Battle for the Heartfire;Patrik Syversen;2017.07.09;6;en
409617;Killing Ground;Damien Power;2017.08.24;6,159;en
400710;Flatliners;Niels Arden Oplev;2017.09.28;5,655;en
446791;All the Money in the World;Ridley Scott;2017.12.21;6,473;en
429467;The Lodgers;Brian O'Malley;2017.10.05;5;en
347984;6 Days;Toa Fraser;2017.07.09;6,034;en
433251;Naked;Michael Tiddes;2017.08.11;5,76;en
339877;Loving Vincent;DK Welchman, Hugh Welchman;2017.06.22;7,995;en
397837;Before I Fall;Ry Russo-Young;2017.03.02;7;en
415312;The Man from Earth: Holocene;Richard Schenkman;2017.10.13;5,477;en
620942;Directing Annabelle: Creation;David F. Sandberg;2017.08.07;9;en
435129;The Breadwinner;Nora Twomey;2017.11.17;7,841;en
434203;Newness;Drake Doremus;2017.11.03;6;en
437670;Suck Me Shakespeer 3;Bora Dağtekin;2017.10.26;6,033;de
269795;2:22;Paul Currie;2017.06.29;6;en
340027;Brain on Fire;Gerard Barrett;2017.02.22;7,038;en
295693;The Boss Baby;Tom McGrath;2017.03.23;6,446;en
467248;Bring It On: Worldwide #Cheersmack;Robert Adetuyi;2017.08.29;6;en
418437;Unforgettable;Denise Di Novi;2017.03.06;5,891;en
488465;Gdansk;Neill Blomkamp;2017.11.21;5,167;en
297160;XX;St. Vincent, Roxanne Benjamin, Karyn Kusama, Jovanka Vuckovic;2017.02.17;5;en
567581;Out of Control;Axel Sand, Richard Lin;2017.10.01;6;de
419835;Crooked House;Gilles Paquet-Brenner;2017.09.06;6,379;en
95608;The Only Living Boy in New York;Marc Webb;2017.07.27;6,375;en
430474;Deep;Julio Soto Gurpide;2017.05.11;6;en
371638;The Disaster Artist;James Franco;2017.03.12;7,109;en
425980;Brad's Status;Mike White;2017.09.14;6,234;en
334536;The Blackcoat's Daughter;Osgood Perkins;2017.03.31;5,842;en
480572;Bullet Head;Paul Solet;2017.12.07;5;en
414425;Mudbound;Dee Rees;2017.11.16;7,383;en
433247;First They Killed My Father;Angelina Jolie;2017.02.18;7,36;en
323368;Hangman;Johnny Martin;2017.12.22;5,791;en
383709;Wonderstruck;Todd Haynes;2017.10.13;6;en
458353;High Heel Homicide;Dean McKendrick;2017.06.20;5,323;en
341689;How to Talk to Girls at Parties;John Cameron Mitchell;2017.10.06;6;en
446829;Max 2: White House Hero;Brian Levant;2017.05.05;7;en
407448;Detroit;Kathryn Bigelow;2017.07.28;7,275;en
395993;Stronger;David Gordon Green;2017.09.22;7;en
466485;Conor McGregor: Notorious;Gavin FitzGerald;2017.11.03;7;en
315064;Animal Crackers;Tony Bancroft, Scott Christian Sava, Jaime Maestro;2017.06.23;6,216;en
452507;1922;Zak Hilditch;2017.10.20;5,932;en
472338;Victor Crowley;Adam Green;2017.09.12;5,683;en
414190;iBoy;Adam Randall;2017.01.27;5,961;en
340442;Pilgrimage;Brendan Muldowney;2017.04.23;5,934;en
660698;Faster Than Light: the Dream of Interstellar Flight;Thomas Lucas;2017.06.07;6;en
390053;Crash Pad;Kevin Tent;2017.10.27;5,601;en
444539;The Bookshop;Isabel Coixet;2017.11.10;6,488;en
413857;Tragedy Girls;Tyler MacIntyre;2017.10.20;6;en
455656;#realityhigh;Fernando Lebrija;2017.07.17;6,291;en
458354;Sleeping Beauties;Dean McKendrick;2017.07.27;5;en
412678;Killing Salazar;Keoni Waxman;2017.01.23;5;en
480623;Christmas Getaway;Mel Damski;2017.12.23;7;en
459159;Puppy!;Genndy Tartakovsky;2017.07.28;6,425;en
471014;Wheelman;Jeremy Rush;2017.10.20;6,109;en
332283;Mary Shelley;Haifaa al-Mansour;2017.08.06;7,027;en
348389;Stratton;Simon West;2017.07.06;5;en
436343;On Body and Soul;Ildikó Enyedi;2017.03.02;7,231;hu
458506;Tour de Pharmacy;Jake Szymanski;2017.07.08;6,767;en
412202;Handsome Devil;John Butler;2017.02.15;7;en
412302;Gemini;Aaron Katz;2017.06.14;5,408;en
383538;The Shadow Effect;Obin Olson, Amariah Olson;2017.05.02;5;en
426808;A Cinderella Christmas;Tosca Musk;2017.11.06;6,693;en
376134;The Discovery;Charlie McDowell;2017.03.31;6,285;en
378111;A Stork's Journey;Toby Genkel, Reza Memari;2017.04.28;5,954;en
364220;The Keeping Hours;Karen Moncrieff;2017.06.15;6,972;en
411019;I Am Not Your Negro;Raoul Peck;2017.02.03;7,727;en
441728;Hampstead;Joel Hopkins;2017.06.23;6;en
441829;Team Thor: Part 2;Taika Waititi;2017.02.14;7;en
324562;The Tribes of Palos Verdes;Brendan Malloy, Emmett Malloy;2017.12.01;5,395;en
472424;Gaga: Five Foot Two;Chris Moukarbel;2017.09.21;7,439;en
346650;Girlfriend's Day;Michael Stephenson;2017.01.24;5;en
447113;Monster High: Electrified;Jun Falkenstein, Avgousta Zourelidi;2017.04.04;7,216;en
408185;Nails;Dennis Bartok;2017.06.16;5,426;en
433033;Unrest;Jennifer Brea;2017.10.20;7;en
382127;Manifesto;Julian Rosefeldt;2017.05.10;6,815;en
324538;Damascus Cover;Daniel Zelik Berk;2017.10.23;5,528;en
346681;Wilson;Craig Johnson;2017.03.24;6;en
363126;Berlin Syndrome;Cate Shortland;2017.04.20;6;en
467062;Spielberg;Susan Lacy;2017.10.05;7,571;en
345317;Final Portrait;Stanley Tucci;2017.08.03;6,052;en
461955;Rakka;Neill Blomkamp;2017.06.14;7,059;en
430826;Casting JonBenet;Kitty Green;2017.04.28;5,679;en
540556;Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe;Robert McCallum, Randall Lobb;2017.09.09;7;en
399790;Churchill;Jonathan Teplitzky;2017.05.25;6,157;en
419635;Kodachrome;Mark Raso;2017.09.08;6,803;en
438137;Becoming Warren Buffett;Brian Oakes, Peter W. Kunhardt;2017.01.30;7,159;en
433471;Lou;Dave Mullins;2017.06.16;7,522;en
464111;Zygote;Neill Blomkamp;2017.07.12;7;en
427033;This Crazy Heart;Marc Rothemund;2017.12.21;7,316;de
469980;Diana: In Her Own Words;Kevin Sim, Tom Jennings;2017.08.06;7,67;en
435737;Rufus 2;Savage Steve Holland;2017.04.21;7,468;en
443319;Phoenix Forgotten;Justin Barber;2017.04.21;6;en
421465;Yes, God, Yes;Karen Maine;2017.04.23;6,182;en
413990;Pottersville;Seth Henrikson;2017.11.10;5;en
463252;My Favorite Wedding;Mel Damski;2017.06.24;7;en
445126;Can't Buy My Love;Farhad Mann;2017.03.04;5,994;en
426253;The Lovers;Azazel Jacobs;2017.05.05;5,449;en
474047;Drink Slay Love;Vanessa Parise;2017.09.16;6;en
495151;Doctor Who: Twice Upon a Time;Rachel Talalay;2017.12.25;8;en
454889;Princess Cyd;Stephen Cone;2017.11.03;6,589;en
436932;Jawbone;Thomas Napper;2017.05.12;6,125;en
403390;Bitter Harvest;George Mendeluk;2017.01.31;6;en
480632;Karen Kingsbury's Maggie's Christmas Miracle;Michael Robison;2017.12.10;6,638;en
528491;WHAT DID JACK DO?;David Lynch;2017.11.08;6,352;en
397601;The Bachelors;Kurt Voelker;2017.10.20;7;en
470932;I Love You, Daddy;Louis C.K.;2017.09.09;5,678;en
402582;Handsome: A Netflix Mystery Movie;Jeff Garlin;2017.05.05;5,248;en
483554;Magical Christmas Ornaments;Don McBrearty;2017.12.03;6;en
396774;Bomb City;Jameson Brooks;2017.03.31;7,115;en
271404;Beyond Skyline;Liam O'Donnell;2017.10.26;5,281;en
459947;Jackals;Kevin Greutert;2017.09.01;5,428;en
407531;Bedeviled;Abel Vang, Burlee Vang;2017.06.28;5,248;en
443076;Where's the Money;Scott Zabielski;2017.10.20;5,65;en
403308;The Invisibles;Claus Räfle;2017.10.08;7;de
462477;Newsies;Brett Sullivan;2017.02.16;8,047;en
471608;Eat, Play, Love;Christie Will Wolf;2017.08.19;7;en
317560;Carrie Pilby;Susan Johnson;2017.03.31;6,876;en
455918;Expedition Happiness;Felix Starck, Selima Taibi;2017.05.04;6,427;de
438982;Game of Death;Laurence Morais Lagacé, Sébastien Landry;2017.03.20;5,043;en
440342;1945;Ferenc Török;2017.04.20;7,072;hu
490545;The Taste of Life;Roland Reber;2017.10.26;5,636;de
480403;Stickman;Sheldon Wilson;2017.10.21;5,602;en
454774;The Girl from the Song;Ibai Abad;2017.04.24;6;en
461931;The Maus;Gerardo Herrero Pereda;2017.09.21;5,287;en
430830;Nobody Speak: Trials of the Free Press;Brian Knappenberger;2017.01.24;6;en
433941;Dave Made a Maze;Bill Watterson;2017.08.18;6,356;en
437667;Love at First Glance;Kevin Connor;2017.02.14;5,813;en
458991;Heal;Kelly Noonan;2017.10.20;7,209;en
335983;Venom;Ruben Fleischer;2018.09.28;6,829;en
324857;Spider-Man: Into the Spider-Verse;Bob Persichetti, Peter Ramsey, Rodney Rothman;2018.12.06;8,397;en
351286;Jurassic World: Fallen Kingdom;J.A. Bayona;2018.06.06;6,54;en
333339;Ready Player One;Steven Spielberg;2018.03.28;7,591;en
284054;Black Panther;Ryan Coogler;2018.02.13;7,375;en
449443;Den of Thieves;Christian Gudegast;2018.01.18;6,833;en
493922;Hereditary;Ari Aster;2018.06.07;7,292;en
447332;A Quiet Place;John Krasinski;2018.04.03;7,399;en
353081;Mission: Impossible - Fallout;Christopher McQuarrie;2018.07.13;7,429;en
345940;The Meg;Jon Turteltaub;2018.08.09;6,251;en
490132;Green Book;Peter Farrelly;2018.11.16;8,236;en
439079;The Nun;Corin Hardy;2018.09.05;5,892;en
383498;Deadpool 2;David Leitch;2018.05.10;7,489;en
480530;Creed II;Steven Caple Jr.;2018.11.21;7;en
420634;Terrifier;Damien Leone;2018.01.25;6,354;en
336843;Maze Runner: The Death Cure;Wes Ball;2018.01.10;7,094;en
345887;The Equalizer 2;Antoine Fuqua;2018.07.19;6,768;en
429415;Extinction;Ben Young;2018.07.15;6;en
404368;Ralph Breaks the Internet;Rich Moore, Phil Johnston;2018.11.20;7,171;en
424694;Bohemian Rhapsody;Bryan Singer;2018.10.24;7,979;en
455839;Time Trap;Mark Dennis, Ben Foster;2018.06.22;6,262;en
297802;Aquaman;James Wan;2018.12.07;6,878;en
442249;The First Purge;Gerard McMurray;2018.07.04;6;en
402900;Ocean's Eight;Gary Ross;2018.06.07;7;en
476299;Ghostland;Pascal Laugier;2018.03.14;7,378;en
429351;12 Strong;Nicolai Fuglsig;2018.01.18;6,334;en
428078;Mortal Engines;Christian Rivers;2018.11.27;6,216;en
440471;Escape Plan 2: Hades;Steven C. Miller;2018.06.05;5,154;en
445651;The Darkest Minds;Jennifer Yuh Nelson;2018.07.25;7;en
399402;Hunter Killer;Donovan Marsh;2018.10.19;6,895;en
537996;The Ballad of Buster Scruggs;Joel Coen, Ethan Coen;2018.11.09;7,134;en
566810;The Dark Kingdom;Simon Wells;2018.11.26;5,635;en
