azon;cím;rendezo;hozzaadas_datum;ertekeles;nyelv
65851;Jackass 3.5;Jeff Tremaine;2011.04.01;6,33;en
65034;Too Big to Fail;Curtis Hanson;2011.11.25;7;en
55347;Beginners;Mike Mills;2011.06.03;6,848;en
73499;The Double;Michael Brandt;2011.10.27;5,797;en
85949;Collision Earth;Paul Ziller;2011.03.24;6;en
79120;Weekend;Andrew Haigh;2011.10.23;7,275;en
40161;The Decoy Bride;Sheree Folkson;2011.06.06;6;en
89008;The Oranges;Julian Farino;2011.09.09;5,51;en
53487;This Must Be the Place;Paolo Sorrentino;2011.08.24;7;en
88794;J. Edgar;Clint Eastwood;2011.11.09;6,231;en
73937;The Big Year;David Frankel;2011.10.13;6;en
81393;12 Dates of Christmas;James Hayman;2011.12.11;6,125;en
54518;Justin Bieber: Never Say Never;Jon M. Chu;2011.02.11;5,196;en
50601;5 Days of War;Renny Harlin;2011.06.06;5,621;en
51497;Fast Five;Justin Lin;2011.04.20;7,242;en
58626;The Hit List;William Kaufman;2011.04.02;6;en
56590;All Star Superman;Sam Liu;2011.01.01;6,847;en
55725;Win Win;Tom McCarthy;2011.03.18;6,828;en
73963;Creature;Fred Andrews;2011.09.09;5,316;en
75736;Catch.44;Aaron Harvey;2011.12.08;5,058;en
46221;The Tunnel;Carlo Ledesma;2011.05.19;5,742;en
70386;The Devil's Rock;Paul Campion;2011.07.08;5,625;en
51994;The Deep Blue Sea;Terence Davies;2011.09.11;5,889;en
57586;African Cats;Keith Scholey, Alastair Fothergill;2011.04.21;7,351;en
62796;William & Kate;Mark Rosman;2011.04.18;5,53;en
57118;That's What I Am;Michael Pavone;2011.04.29;6,811;en
27646;Night of the Demons;Adam Gierasch;2011.10.28;5;en
101325;The Forger;Lawrence Roeck;2011.03.09;5,755;en
92398;Cassadaga;Anthony DiBlasi;2011.10.22;5,099;en
71285;Super Eruption;Matt Codd;2011.03.08;6,223;en
57276;Pina;Wim Wenders;2011.02.24;7,425;de
79931;Adele: Live at the Royal Albert Hall;Paul Dugdale;2011.11.27;8;en
91549;The Moth Diaries;Mary Harron;2011.09.06;5,34;en
51588;Prom;Joe Nussbaum;2011.04.29;6,112;en
72842;Albatross;Niall MacCormick;2011.10.14;6,095;en
78080;Beethoven's Christmas Adventure;John Putch;2011.11.07;6;en
57585;Elephant White;Prachya Pinkaew;2011.05.17;5;en
627394;iParty with Victorious;Steve Hoefer;2011.06.11;7,409;en
70703;The Captains;William Shatner;2011.07.22;6,333;en
80109;Wickie and the Treasure of the Gods;Christian Ditter;2011.09.28;5,566;de
63849;Almanya: Welcome to Germany;Yasemin Samdereli;2011.05.13;6,642;de
45054;There Be Dragons;Roland Joffé;2011.03.25;5,034;en
72744;Pearl Jam Twenty;Cameron Crowe;2011.09.20;7,784;en
57353;Cat Run;John Stockwell;2011.04.01;5,331;en
86812;Sound of My Voice;Zal Batmanglij;2011.01.22;6,282;en
47760;Restless;Gus Van Sant;2011.09.16;6,515;en
65945;Red Faction: Origins;Michael Nankin;2011.06.04;5,233;en
60302;Cougars, Inc.;K. Asher Levin;2011.04.21;5;en
76543;Tyrannosaur;Paddy Considine;2011.10.07;7,257;en
80468;Some Guy Who Kills People;Jack Perez;2011.04.14;6;en
203912;National Theatre Live: Frankenstein;Danny Boyle, Tim Van Someren;2011.03.17;8;en
105945;Memorial Day;Sam Fischer;2011.06.06;6,149;en
81179;Snowmageddon;Sheldon Wilson;2011.12.10;5,631;en
59437;Beautiful Boy;Shawn Ku;2011.06.03;6,021;en
54293;Zeitgeist: Moving Forward;Peter Joseph;2011.01.15;7,032;en
61488;Foo Fighters: Back and Forth;James Moll;2011.04.05;7,547;en
59065;Route Irish;Ken Loach;2011.03.16;6;en
74539;Killer Mountain;Sheldon Wilson;2011.08.01;5,073;en
85743;Play;Ruben Östlund;2011.06.26;6,823;en
77365;Into the Abyss;Werner Herzog;2011.11.11;6,899;en
75345;I Melt with You;Mark Pellington;2011.12.09;5,331;en
69270;Super Hybrid;Eric Valette;2011.01.28;5,099;en
98932;The Eye of the Storm;Fred Schepisi;2011.09.15;5;en
58699;Bellflower;Evan Glodell;2011.04.16;5,93;en
58166;Lessons of a Dream;Sebastian Grobler;2011.02.24;7;de
110677;Busty Coeds vs. Lusty Cheerleaders;Jim Wynorski;2011.04.01;5,889;en
70845;There's Something Wrong with Aunt Diane;Liz Garbus;2011.07.25;6,642;en
47218;Happythankyoumoreplease;Josh Radnor;2011.03.04;6,516;en
124887;Screaming in High Heels: The Rise & Fall of the Scream Queen Era;Jason Paul Collum;2011.05.05;6,795;en
165477;Whole Lotta Sole;Terry George;2011.04.21;5,346;en
80379;Louis C.K.: Live at the Beacon Theater;Louis C.K.;2011.12.10;7,829;en
67885;Bobby Fischer Against the World;Liz Garbus;2011.06.06;6,849;en
77067;DeadHeads;Drew T. Pierce, Brett Pierce;2011.04.29;5;en
87587;The Pill;J.C. Khoury;2011.12.16;5,385;en
77801;Miss Representation;Jennifer Siebel Newsom;2011.01.20;7;en
92395;Evidence;Howie Askins;2011.02.28;5;en
70214;The Night Watch;Richard Laxton;2011.04.04;5,863;en
